# 2010 08 07 00 22 43.19 43.6081666666667 -110.45   5.3 0.00  9.4  6.7 0.11 34
LOHW 3.220 0.75 P
REDW 8.230 1 P
IMW 9.320 0.75 P
YPP 14.22 0.75 P
B944 15.55 0.5 P
MCID 15.62 0.75 P
# 2010 08 07 00 55 43.94 43.6093333333333 -110.48   6.9 0.00  6.8  5.8 0.07 35
LOHW 2.880 0.75 P
REDW 7.930 0.75 P
IMW 9.120 0.75 P
FLWY 10.10 0.75 P
YPP 14.10 0.75 P
MCID 15.19 0.5 P
B944 15.51 0.75 P
# 2010 08 05 20 12  8.57 43.617 -110.43   1.0 0.00  5.4  2.1 0.16 36
LOHW 3.609 0.75 P
REDW 8.719 0.75 P
IMW 9.809 1 P
FLWY 11.02 0.75 P
YPP 14.78 0.75 P
B944 15.71 0.75 P
YTP 15.84 0.75 P
MCID 15.90 0.75 P
ECR 18.04 0.75 P
# 2010 08 07 19 45  3.19 43.5843333333333 -110.471666666667   4.4 0.00  7.7  6.3 0.11 37
LOHW 2.950 0.75 P
REDW 7.850 1 P
IMW 9.480 0.75 P
FLWY 10.65 0.75 P
YPP 14.57 0.5 P
MCID 15.83 0.75 P
ECR 16.55 0.75 P
YLT 17 0.5 P
# 2010 08 05 20 34 30.15 43.601 -110.42   2.9 0.00  9.3  2.6 0.18 38
LOHW 3.630 0.75 P
REDW 8.589 0.75 P
IMW 9.719 0.75 P
FLWY 10.85 1 P
YPP 14.65 0.75 P
B944 16.11 0.75 P
YTP 15.70 0.75 P
MCID 16.19 0.75 P
# 2010 08 10 16 15 38.76 43.5986666666667 -110.501666666667   6.0 0.00  5.7  7.5 0.11 39
LOHW 2.619 0.75 P
REDW 7.619 0.5 P
IMW 8.939 1 P
FLWY 10.40 0.75 P
YPP 14.30 0.75 P
MCID 15.20 0.5 P
B944 15.45 0.5 P
# 2010 08 21 18 54 26.57 43.6211666666667 -110.496666666667   4.1 0.00  5.7  7.8 0.09 40
LOHW 2.530 1 P
REDW 8.020 0.75 P
IMW 8.849 0.75 P
FLWY 9.949 0.75 P
YPP 13.94 0.75 P
MCID 15.11 0.5 P
YLT 16.34 0.25 P
# 2010 08 17 05 07 28.39 43.6081666666667 -110.488333333333   5.0 0.00  5.5  5.0 0.12 41
LOHW 2.680 0.75 P
REDW 7.860 0.75 P
IMW 8.989 1 P
FLWY 10.12 1 P
YPP 14.32 0.75 P
MCID 15.21 0.75 P
B944 15.5 0.75 P
# 2010 08 06 03 49 31.63 43.5891666666667 -110.465   5.0 0.00  8.6 10.0 0.10 42
LOHW 3.050 1 P
REDW 7.849 0.75 P
IMW 9.420 0.75 P
FLWY 10.61 0.75 P
YPP 14.56 0.75 P
MCID 15.80 0.5 P
# 2010 08 08 17 29 35.99 43.5796666666667 -110.42   5.0 0.00 12.6  3.2 0.20 43
LOHW 3.709 1 P
REDW 8.199 0.75 P
IMW 9.959 1 P
FLWY 10.69 0.75 P
YPP 15.21 0.5 P
YTP 16.19 0.75 P
MCID 16.28 0.75 P
# 2010 08 06 20 17 34.70 43.5748333333333 -110.443333333333   5.0 0.00 12.5 12.2 0.18 44
LOHW 3.470 0.75 P
REDW 7.900 0.75 P
IMW 9.710 0.75 P
FLWY 10.80 0.75 P
YPP 15.08 0.75 P
MCID 16.11 0.75 P
# 2010 08 06 23 31 23.60 43.6056666666667 -110.426666666667   3.0 0.00 11.2  8.5 0.15 45
LOHW 3.520 0.75 P
REDW 8.570 1 P
IMW 9.670 1 P
FLWY 10.66 0.75 P
YPP 14.57 0.75 P
MCID 16.08 1 P
# 2010 08 11 03 56 11.45 43.6151666666667 -110.525   7.8 0.00  2.9  3.7 0.15 46
LOHW 2.530 0.75 P
REDW 7.580 0.75 P
IMW 8.590 1 P
FLWY 9.75 0.75 P
YPP 13.67 0.5 P
MCID 14.98 0.5 P
YTP 15.91 0.5 P
# 2010 08 12 05 22 40.27 43.6081666666667 -110.433333333333   1.8 0.00  8.9  3.2 0.13 47
LOHW 3.479 0.75 P
REDW 8.689 0.75 P
IMW 9.810 0.75 P
FLWY 10.87 0.75 P
YPP 14.92 0.5 P
B944 15.67 0.5 P
YTP 15.91 0.5 P
# 2010 08 12 09 26 37.14 43.6028333333333 -110.428333333333  -0.8 0.00  5.1  2.1 0.15 48
LOHW 3.800 0.75 P
REDW 9.160 0.75 P
IMW 10.33 1 P
FLWY 11.40 1 P
YPP 15.25 1 P
B944 16.37 0.5 P
YTP 16.38 0.75 P
MCID 16.67 0.75 P
YLT 17.76 0.5 P
# 2010 08 14 15 50 14.73 43.6021666666667 -110.456666666667   3.2 0.00  7.1  4.3 0.12 49
LOHW 3.050 0.75 P
REDW 8.25 1 P
IMW 9.489 1 P
FLWY 10.47 1 P
YPP 14.37 0.75 P
MCID 15.85 1 P
B944 15.89 0.75 P
H17 15.94 0.75 P
ECR 17.03 0.75 P
# 2010 08 15 15 56 51.55 43.6181666666667 -110.44   1.0 0.00  5.1  2.1 0.12 50
LOHW 3.429 0.75 P
REDW 8.800 1 P
IMW 9.649 1 P
FLWY 10.70 1 P
YPP 14.61 1 P
B944 15.87 0.5 P
YTP 15.82 1 P
MCID 16.01 1 P
ECR 17.82 0.5 P
# 2010 08 15 15 59 15.57 43.6176666666667 -110.45   2.3 0.00  6.0  2.8 0.14 51
LOHW 3.199 0.75 P
REDW 8.569 1 P
IMW 9.369 1 P
FLWY 10.47 0.75 P
YPP 14.40 0.75 P
B944 15.78 0.5 P
MCID 15.77 1 P
YTP 15.59 0.5 P
# 2010 08 16 21 01 51.44 43.6176666666667 -110.443333333333   1.9 0.00  6.2  2.4 0.16 52
LOHW 3.320 0.75 P
REDW 8.699 1 P
IMW 9.5 1 P
FLWY 10.53 0.75 P
YPP 14.43 0.5 P
MCID 15.86 1 P
YTP 15.67 0.75 P
YLT 16.93 0.5 P
# 2010 08 16 22 52  3.39 43.5998333333333 -110.415   2.3 0.00  9.6  2.4 0.11 53
LOHW 3.75 1 P
REDW 8.690 1 P
IMW 9.960 1 P
FLWY 10.96 1 P
YPP 14.80 0.75 P
B944 16 0.5 P
YTP 15.98 1 P
MCID 16.31 1 P
# 2010 08 16 22 52 26.16 43.6105 -110.436666666667   4.2 0.00  9.5  3.4 0.15 54
LOHW 3.330 1 P
REDW 8.460 0.75 P
IMW 9.5 0.75 P
FLWY 10.87 0.5 P
YTP 15.59 0.75 P
MCID 15.54 0.5 P
# 2010 08 16 23 14  7.89 43.5961666666667 -110.518333333333   7.5 0.00  3.4  3.8 0.21 55
LOHW 2.600 0.75 P
REDW 7.430 0.75 P
IMW 8.820 1 P
FLWY 9.790 0.5 P
YPP 14.28 0.5 P
MCID 15.21 0.75 P
YTP 16.22 0.5 P
# 2010 08 16 23 14 30.96 43.601 -110.423333333333   1.2 0.00  7.8  2.8 0.16 56
LOHW 3.709 0.75 P
REDW 8.790 0.75 P
IMW 9.929 0.75 P
FLWY 11.03 0.75 P
YPP 14.91 0.75 P
B944 16.15 0.75 P
